timestamp,temperature,humidity,light,voltage
2004-02-28 00:58:00,19.028,39.7217,150.88,2.69964
2004-02-28 00:59:00,19.028,40.04345,150.88,2.69964
2004-02-28 01:00:00,19.028,40.3652,150.88,2.69964
2004-02-28 01:01:00,18.9496,40.4328,150.88,2.69964
2004-02-28 01:02:00,18.8075,40.8886,150.88,2.69964
2004-02-28 01:03:00,18.736449999999998,41.082375,152.72,2.69353
2004-02-28 01:04:00,18.665399999999998,41.27615,152.72,2.69353
2004-02-28 01:05:00,18.6311,41.51155,150.88,2.68742
2004-02-28 01:06:00,18.5968,41.52845,150.88,2.68742
2004-02-28 01:07:00,18.5576,41.52845,143.52,2.68742
2004-02-28 01:08:00,18.538,41.52845,136.16,2.68742
2004-02-28 01:09:00,18.5184,41.5789,136.16,2.68742
2004-02-28 01:10:00,18.5184,41.5789,132.48000000000002,2.68742
2004-02-28 01:11:00,18.5184,41.64605,132.48000000000002,2.690475
2004-02-28 01:12:00,18.5184,41.8476,132.48000000000002,2.69353
2004-02-28 01:13:00,18.5429,41.8476,136.16,2.69353
2004-02-28 01:14:00,18.5429,41.8476,143.51999999999998,2.69353
2004-02-28 01:15:00,18.5429,41.64605,143.52,2.69353
2004-02-28 01:16:00,18.5184,41.5621,143.52,2.69353
2004-02-28 01:17:00,18.4792,41.5116,143.52,2.69353
2004-02-28 01:18:00,18.4547,41.5116,143.52,2.68742
2004-02-28 01:19:00,18.44,41.343450000000004,143.52,2.68742
2004-02-28 01:20:00,18.44,41.343450000000004,143.52,2.68742
2004-02-28 01:21:00,18.4302,41.343450000000004,143.52,2.68742
2004-02-28 01:22:00,18.4106,41.3771,143.52,2.68742
2004-02-28 01:23:00,18.4106,41.393950000000004,143.52,2.68742
2004-02-28 01:24:00,18.4008,41.4108,143.52,2.69353
2004-02-28 01:25:00,18.4008,41.44435,143.52,2.69353
2004-02-28 01:26:00,18.395899999999997,41.44435,143.52,2.68742
2004-02-28 01:27:00,18.3812,41.44435,143.52,2.68742
2004-02-28 01:28:00,18.3812,41.5116,143.52,2.68742
2004-02-28 01:29:00,18.3812,41.56205,143.52,2.68742
2004-02-28 01:30:00,18.3812,41.5789,143.52,2.68742
